FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURPOSE_CALL,Motivi della chiamata,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2020,77,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2021,82,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2022,69,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2023,87,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2024,108,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2015,940,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2016,915,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2017,842,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2018,878,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2019,826,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2020,1265,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2021,1430,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2022,1066,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2023,1452,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,IT,Italia,2024,1947,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,NRP,Non Indicato,2023,57,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,NRP,Non Indicato,2024,60,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2015,168,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2016,149,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2017,174,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2018,173,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2019,165,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2020,353,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2021,306,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2022,137,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2023,332,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WORLD,Mondo,2024,387,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2015,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2016,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2017,5,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2018,5,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2019,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2020,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2021,16,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2022,5,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2023,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,WRL_X_ITA,Paesi esteri,2024,19,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2015,159,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2016,139,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2017,169,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2018,168,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2019,154,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2020,339,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2021,290,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2022,132,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2023,318,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,M,Maschi,IT,Italia,2024,368,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2015,5163,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2016,5285,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2017,5307,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2018,6881,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2019,6318,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2020,11300,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2021,11489,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2022,8990,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2023,11295,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WORLD,Mondo,2024,12648,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2015,739,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2016,738,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2017,759,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2018,906,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2019,969,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2020,1235,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2021,1288,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2022,1230,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2023,1440,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,WRL_X_ITA,Paesi esteri,2024,1494,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2015,4424,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2016,4547,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2017,4548,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2018,5975,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2019,5349,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2020,10065,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2021,10201,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2022,7760,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2023,9855,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,F,Femmine,IT,Italia,2024,11154,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,WORLD,Mondo,2023,679,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,WORLD,Mondo,2024,460,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,WRL_X_ITA,Paesi esteri,2023,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,WRL_X_ITA,Paesi esteri,2024,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,IT,Italia,2023,51,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,NRP,Non indicato,IT,Italia,2024,34,
