FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,NATIONALITY,Nazionalità,OUTCOME_CALL,Esito della telefonata,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2015,51,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2016,41,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2017,41,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2018,28,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2019,27,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2020,57,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2021,36,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2022,24,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2023,60,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,TRANSF_SER,Trasferito servizio,2024,82,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2015,22,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2016,27,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2017,31,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2018,47,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2019,39,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2020,56,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2021,83,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2022,95,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2023,73,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,NOTRANSF_SER,Non trasferito servizio,2024,90,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2015,73,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2016,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2017,72,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2018,75,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2019,66,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2020,113,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2021,119,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2022,119,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2023,133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,ALL_VAL,Chiamate valide,2024,172,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,118_REQUIRED,Richiesto intervento del 118,2023,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,118_REQUIRED,Richiesto intervento del 118,2024,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,112_REQUIRED,Richiesto intervento del 112,2017,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,112_REQUIRED,Richiesto intervento del 112,2018,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WRL_X_ITA,Paesi esteri,112_REQUIRED,Richiesto intervento del 112,2020,1,
