FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2019,1268,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2020,844,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2021,1080,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2022,1121,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2023,246,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2024,245,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2015,281,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2016,368,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2017,253,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2018,207,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2019,220,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2020,43,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2021,19,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PHONE_BOOK,Elenco telefonico,2022,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,HEALTH_SERV,Strutture sanitarie,2023,264,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,HEALTH_SERV,Strutture sanitarie,2024,232,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,FAM_COUNS,Consultorio,2023,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,FAM_COUNS,Consultorio,2024,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,LOW_ENF,"'FFOO - forze dell""'ordine'",2023,1175,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,LOW_ENF,"'FFOO - forze dell""'ordine'",2024,1183,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOC_SERV,Servizi sociali,2023,113,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOC_SERV,Servizi sociali,2024,88,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,FAM_DOC,Medico di famiglia,2023,63,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,FAM_DOC,Medico di famiglia,2024,36,
