FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,PURPOSE_CALL,Motivi della chiamata,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2020,11310,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2021,11481,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2022,8993,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2023,11013,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2024,12435,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2020,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2021,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2022,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2015,1506,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2016,1526,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2017,1455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2018,1373,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2019,1066,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2020,2472,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2021,2799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2022,1565,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2023,2062,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT_VIOL,Segnalazione di un caso di violenza,2024,1810,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2015,163,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2016,117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2017,170,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2018,197,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2019,160,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2020,119,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2021,62,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,EMERGENCY,Emergenza,2022,17,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2015,7770,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2016,7830,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2017,7799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2018,9341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2019,8427,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2020,15128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2021,15720,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2022,11632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2023,14455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2024,16117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2023,108,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2024,124,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2023,1048,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2024,826,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2021,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,REPORT_VIOL,Segnalazione di un caso di violenza,2023,164,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,REPORT_VIOL,Segnalazione di un caso di violenza,2024,90,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2021,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,EMERGENCY,Emergenza,2022,15,,
