FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TYPE_VIOLENCE,Tipo_di_violenza,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,OTH,Altro,2023,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,OTH,Altro,2024,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2015,20,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2016,10,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2017,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2018,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2019,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2020,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2021,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2022,14,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2023,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2024,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2015,38,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2016,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2017,32,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2018,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2019,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2020,44,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2021,64,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2022,28,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2023,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2024,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2015,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2016,295,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2017,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2018,261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2019,218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2020,571,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2021,540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2022,262,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2023,425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2024,433,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2015,3693,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2016,3727,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2017,3553,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2018,4166,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2019,3698,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2020,7250,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2021,6949,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2022,5024,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2023,6662,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,PHY,Violenza fisica,2024,7126,,
