FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2015,1402,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2016,1384,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2017,1345,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2018,1505,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2019,1606,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2020,2100,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2021,2034,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2022,1832,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2023,2506,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y25-34,25-34 anni,2024,2014,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2015,2034,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2016,2065,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2017,1972,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2018,2236,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2019,2178,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2020,2758,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2021,2425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2022,2381,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2023,3042,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y35-44,35-44 anni,2024,2475,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2015,1619,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2016,1731,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2017,1563,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2018,2119,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2019,1767,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2020,2350,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2021,2287,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y45-54,45-54 anni,2022,2074,,
