FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,SEXUAL_ORIENTATION,Orientamento sessuale,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2015,2431,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2016,2255,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2017,1992,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2018,2871,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2019,2828,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2020,3695,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2021,3911,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2022,3522,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2023,5242,,
A,Annuale,ITE4,Lazio,USERS,Utenti del 1522,T,Totale,TOTAL,Totale,2024,6172,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2015,11,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2016,6,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2017,7,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2018,4,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2019,5,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2020,13,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2021,16,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2022,9,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2015,4,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2016,3,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2017,4,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2018,1,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2019,1,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2020,15,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2021,2,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2022,5,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2023,849,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2024,1069,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2015,548,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2016,335,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2017,401,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2018,542,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2019,509,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2020,545,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2021,534,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2022,556,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2015,562,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2016,344,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2017,408,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2018,547,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2019,514,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2020,564,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2021,551,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2022,568,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2023,849,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2024,1069,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2015,3,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2016,2,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2017,3,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2018,2,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2019,9,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2020,16,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2021,16,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2022,5,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2015,10,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2016,11,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2017,6,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2018,9,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2019,2,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2020,31,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2021,18,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2022,12,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,MISSING,Missing,2023,5771,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,MISSING,Missing,2024,7473,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2015,4053,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2016,3463,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2017,3070,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2018,4336,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2019,3935,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2020,5095,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2021,5394,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2022,4779,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2015,4064,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2016,3475,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2017,3077,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2018,4347,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2019,3946,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2020,5138,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2021,5425,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2022,4796,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2023,5771,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2024,7473,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,NRP,Non indicato,MISSING,Missing,2023,37,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,NRP,Non indicato,MISSING,Missing,2024,24,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,NRP,Non indicato,TOTAL,Totale,2023,37,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,NRP,Non indicato,TOTAL,Totale,2024,24,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2015,14,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2016,8,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2017,10,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2018,6,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2019,14,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2020,29,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2021,32,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2022,14,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2015,14,,
A,Annuale,ITF,Sud,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2016,14,,
