Regione;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
Abruzzo;0;3821;0;0;0;0;0;0;3821;3553;0;0;0;0;0;0;3553;7374
Abruzzo;1;3992;0;0;0;0;0;0;3992;3658;0;0;0;0;0;0;3658;7650
Abruzzo;2;4239;0;0;0;0;0;0;4239;3919;0;0;0;0;0;0;3919;8158
Abruzzo;3;4296;0;0;0;0;0;0;4296;4165;0;0;0;0;0;0;4165;8461
Abruzzo;4;4453;0;0;0;0;0;0;4453;4186;0;0;0;0;0;0;4186;8639
Abruzzo;5;4522;0;0;0;0;0;0;4522;4315;0;0;0;0;0;0;4315;8837
Abruzzo;6;4698;0;0;0;0;0;0;4698;4502;0;0;0;0;0;0;4502;9200
Abruzzo;7;5054;0;0;0;0;0;0;5054;4739;0;0;0;0;0;0;4739;9793
Abruzzo;8;5287;0;0;0;0;0;0;5287;4972;0;0;0;0;0;0;4972;10259
Abruzzo;9;5406;0;0;0;0;0;0;5406;5042;0;0;0;0;0;0;5042;10448
Abruzzo;10;5456;0;0;0;0;0;0;5456;5179;0;0;0;0;0;0;5179;10635
Abruzzo;11;5522;0;0;0;0;0;0;5522;5231;0;0;0;0;0;0;5231;10753
Abruzzo;12;5771;0;0;0;0;0;0;5771;5548;0;0;0;0;0;0;5548;11319
Abruzzo;13;5976;0;0;0;0;0;0;5976;5457;0;0;0;0;0;0;5457;11433
Abruzzo;14;6031;0;0;0;0;0;0;6031;5715;0;0;0;0;0;0;5715;11746
Abruzzo;15;5987;0;0;0;0;0;0;5987;5564;0;0;0;0;0;0;5564;11551
Abruzzo;16;6191;0;0;0;0;0;0;6191;5806;0;0;0;0;0;0;5806;11997
Abruzzo;17;6136;0;0;0;0;0;0;6136;5746;1;0;0;0;0;0;5747;11883
Abruzzo;18;6220;1;0;0;0;0;0;6221;5629;5;0;0;0;0;0;5634;11855
Abruzzo;19;6304;2;0;0;0;0;0;6306;5783;11;0;0;0;0;0;5794;12100
Abruzzo;20;6559;12;0;0;0;0;0;6571;5667;27;0;0;0;0;0;5694;12265
Abruzzo;21;6409;9;0;0;0;0;0;6418;5624;71;0;0;0;0;0;5695;12113
Abruzzo;22;6316;21;0;0;0;0;0;6337;5441;99;1;0;0;0;0;5541;11878
Abruzzo;23;6376;35;1;0;0;0;0;6412;5615;152;3;0;1;0;0;5771;12183
Abruzzo;24;6656;67;2;0;0;0;0;6725;5516;229;1;0;3;0;0;5749;12474
Abruzzo;25;6418;106;2;1;1;0;0;6528;5456;307;4;2;1;0;0;5770;12298
Abruzzo;26;6528;161;4;0;3;1;0;6697;5448;454;4;1;1;0;0;5908;12605
Abruzzo;27;6372;245;1;4;1;0;0;6623;5117;607;5;0;3;0;0;5732;12355
Abruzzo;28;6150;349;2;2;2;0;0;6505;5155;762;12;2;6;2;0;5939;12444
Abruzzo;29;6084;495;9;2;1;0;0;6591;4772;981;19;0;4;2;0;5778;12369
