FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2021,54,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2022,26,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2015,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2016,295,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2017,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2018,261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2019,218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2020,571,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2021,540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2022,262,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2023,425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Totale,2024,433,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2015,2235,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2016,2364,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2017,2449,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2018,2918,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2019,2977,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2020,5318,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2021,6157,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2022,4630,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2023,6261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SIN,Celibe/nubile,2024,7394,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2015,824,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2016,849,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2017,822,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2018,926,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2019,843,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2020,1217,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2021,1174,,
