FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;STRAGR;"'Molto d""'accordo'";2018;3.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;SOMAGR;"'Abbastanza d""'accordo'";2018;12;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;SOMDISAG;"'Poco d""'accordo'";2018;12.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;STRODIS;"'Per niente d""'accordo'";2018;65;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;NOANSW;Non risponde;2018;6.5;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WSVADRE;Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;STRAGR;"'Molto d""'accordo'";2018;2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;SOMAGR;"'Abbastanza d""'accordo'";2018;10.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;SOMDISAG;"'Poco d""'accordo'";2018;32.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;STRODIS;"'Per niente d""'accordo'";2018;42.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;NOANSW;Non risponde;2018;12.4;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;OACVIF;Spesso le accuse di violenza sessuale sono false;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);F;Femmine;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRAGR;"'Molto d""'accordo'";2018;6.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);F;Femmine;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMAGR;"'Abbastanza d""'accordo'";2018;17.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);F;Femmine;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMDISAG;"'Poco d""'accordo'";2018;19.3;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);F;Femmine;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRODIS;"'Per niente d""'accordo'";2018;52.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);F;Femmine;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;NOANSW;Non risponde;2018;4.6;
