FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2017,218,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2018,116,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2019,97,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2020,770,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2021,1775,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2022,2056,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2023,5294,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2024,7467,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2015,2201,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2016,1690,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2017,2119,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2018,2557,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2019,2342,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2020,3403,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2021,4008,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2022,3848,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2023,6154,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,9,Totale,2024,8278,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2015,14948,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2016,13897,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2017,13783,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2018,19753,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2019,18040,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2020,20657,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2021,16615,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2022,14619,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2023,7689,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,0,No,2024,13283,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2015,357,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2016,429,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2017,343,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2018,398,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2019,443,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2020,1502,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2021,3004,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2022,1592,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2023,6282,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,1,Si,2024,1878,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2015,2199,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2016,1618,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2017,1371,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2018,525,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2019,463,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2020,6117,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2021,12398,,
