FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2019,279,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2020,288,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2021,376,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2022,318,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2023,281,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2024,465,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2015,5710,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2016,5728,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2017,5535,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2018,6697,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2019,6081,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2020,8958,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2021,9907,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2022,8056,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2023,10322,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NOREPORT,Non denuncia,2024,12319,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2015,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2016,39,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2017,45,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2018,35,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2019,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2020,121,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2021,221,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2022,206,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2023,1535,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NRP,Non risponde,2024,926,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2015,622,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2016,545,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2017,813,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2018,990,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2019,749,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2020,4151,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2021,3101,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2022,1552,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2023,347,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2024,415,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2015,7770,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2016,7830,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2017,7799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2018,9341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2019,8427,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2020,15128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2021,15720,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2022,11632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2023,14455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2024,16117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,REPORT,Denuncia,2023,20,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,REPORT,Denuncia,2024,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,WITHDR_COMP,Ritira la denuncia,2023,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NOREPORT,Non denuncia,2023,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NOREPORT,Non denuncia,2024,31,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non risponde,2023,57,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non risponde,2024,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2023,1296,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2024,1021,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2020,9,,
