territorio,tipologia_utenti,sesso,periodo,numero_vittime
piemonte,altre chiamate valide,maschi,2023,42
piemonte,altre chiamate valide,maschi,2024,66
piemonte,altre chiamate valide,femmine,2015,19
piemonte,altre chiamate valide,femmine,2016,31
piemonte,altre chiamate valide,femmine,2017,32
piemonte,altre chiamate valide,femmine,2018,34
piemonte,altre chiamate valide,femmine,2019,9
piemonte,altre chiamate valide,femmine,2020,12
piemonte,altre chiamate valide,femmine,2021,8
piemonte,altre chiamate valide,femmine,2022,11
piemonte,altre chiamate valide,femmine,2023,150
piemonte,altre chiamate valide,femmine,2024,353
piemonte,altre chiamate valide,non indicato,2024,3
piemonte,valore mancante,maschi,2023,1
piemonte,valore mancante,maschi,2024,1
piemonte,valore mancante,femmine,2023,18
liguria,utenti che chiamano per sè,maschi,2015,34
liguria,utenti che chiamano per sè,maschi,2016,17
liguria,utenti che chiamano per sè,maschi,2017,22
liguria,utenti che chiamano per sè,maschi,2018,36
liguria,utenti che chiamano per sè,maschi,2019,35
liguria,utenti che chiamano per sè,maschi,2020,53
liguria,utenti che chiamano per sè,maschi,2021,36
liguria,utenti che chiamano per sè,maschi,2022,43
liguria,utenti che chiamano per sè,maschi,2023,34
liguria,utenti che chiamano per sè,maschi,2024,27
liguria,utenti che chiamano per sè,femmine,2015,449
liguria,utenti che chiamano per sè,femmine,2016,408
liguria,utenti che chiamano per sè,femmine,2017,332
liguria,utenti che chiamano per sè,femmine,2018,452
liguria,utenti che chiamano per sè,femmine,2019,429
liguria,utenti che chiamano per sè,femmine,2020,507
liguria,utenti che chiamano per sè,femmine,2021,559
liguria,utenti che chiamano per sè,femmine,2022,497
liguria,utenti che chiamano per sè,femmine,2023,499
liguria,utenti che chiamano per sè,femmine,2024,625
liguria,utenti che chiamano per sè,non indicato,2023,2
liguria,utenti che chiamano per sè,non indicato,2024,1
liguria,da operatori,maschi,2016,2
liguria,da operatori,maschi,2017,2
liguria,da operatori,maschi,2018,2
liguria,da operatori,maschi,2019,2
liguria,da operatori,maschi,2020,4
liguria,da operatori,maschi,2021,5
liguria,da operatori,maschi,2022,10
liguria,da operatori,maschi,2023,38
liguria,da operatori,maschi,2024,21
liguria,da operatori,femmine,2015,5
liguria,da operatori,femmine,2016,10
liguria,da operatori,femmine,2017,4
liguria,da operatori,femmine,2018,3
liguria,da operatori,femmine,2019,7
liguria,da operatori,femmine,2020,3
liguria,da operatori,femmine,2021,7
liguria,da operatori,femmine,2022,5
liguria,da operatori,femmine,2023,47
liguria,da operatori,femmine,2024,68
liguria,da operatori,non indicato,2024,1
liguria,da parenti/amici/conoscenti,maschi,2015,11
liguria,da parenti/amici/conoscenti,maschi,2016,12
liguria,da parenti/amici/conoscenti,maschi,2017,4
liguria,da parenti/amici/conoscenti,maschi,2018,6
liguria,da parenti/amici/conoscenti,maschi,2019,2
liguria,da parenti/amici/conoscenti,maschi,2020,8
liguria,da parenti/amici/conoscenti,maschi,2021,4
liguria,da parenti/amici/conoscenti,maschi,2022,1
liguria,da parenti/amici/conoscenti,maschi,2023,18
liguria,da parenti/amici/conoscenti,maschi,2024,27
liguria,da parenti/amici/conoscenti,femmine,2015,40
liguria,da parenti/amici/conoscenti,femmine,2016,39
liguria,da parenti/amici/conoscenti,femmine,2017,20
liguria,da parenti/amici/conoscenti,femmine,2018,20
liguria,da parenti/amici/conoscenti,femmine,2019,12
liguria,da parenti/amici/conoscenti,femmine,2020,30
liguria,da parenti/amici/conoscenti,femmine,2021,22
liguria,da parenti/amici/conoscenti,femmine,2022,21
liguria,da parenti/amici/conoscenti,femmine,2023,45
liguria,da parenti/amici/conoscenti,femmine,2024,83
liguria,da parenti/amici/conoscenti,non indicato,2023,1
liguria,da parenti/amici/conoscenti,non indicato,2024,1
liguria,altre chiamate valide,maschi,2015,2
liguria,altre chiamate valide,maschi,2017,1
liguria,altre chiamate valide,maschi,2021,1
liguria,altre chiamate valide,maschi,2023,14
liguria,altre chiamate valide,maschi,2024,28
liguria,altre chiamate valide,femmine,2015,7
liguria,altre chiamate valide,femmine,2016,9
liguria,altre chiamate valide,femmine,2017,10
liguria,altre chiamate valide,femmine,2018,8
liguria,altre chiamate valide,femmine,2019,6
liguria,altre chiamate valide,femmine,2020,7
liguria,altre chiamate valide,femmine,2021,2
liguria,altre chiamate valide,femmine,2022,3
liguria,altre chiamate valide,femmine,2023,61
liguria,altre chiamate valide,femmine,2024,98
liguria,altre chiamate valide,non indicato,2024,1
liguria,valore mancante,maschi,2023,1
liguria,valore mancante,femmine,2023,2
lombardia,utenti che chiamano per sè,maschi,2015,170
lombardia,utenti che chiamano per sè,maschi,2016,170
lombardia,utenti che chiamano per sè,maschi,2017,195
lombardia,utenti che chiamano per sè,maschi,2018,256
lombardia,utenti che chiamano per sè,maschi,2019,247
lombardia,utenti che chiamano per sè,maschi,2020,331
lombardia,utenti che chiamano per sè,maschi,2021,248
lombardia,utenti che chiamano per sè,maschi,2022,300
lombardia,utenti che chiamano per sè,maschi,2023,175
lombardia,utenti che chiamano per sè,maschi,2024,188
lombardia,utenti che chiamano per sè,femmine,2015,2226
lombardia,utenti che chiamano per sè,femmine,2016,2113
lombardia,utenti che chiamano per sè,femmine,2017,2044
lombardia,utenti che chiamano per sè,femmine,2018,2630
lombardia,utenti che chiamano per sè,femmine,2019,2530
lombardia,utenti che chiamano per sè,femmine,2020,3470
lombardia,utenti che chiamano per sè,femmine,2021,3328
lombardia,utenti che chiamano per sè,femmine,2022,3168
lombardia,utenti che chiamano per sè,femmine,2023,3658
lombardia,utenti che chiamano per sè,femmine,2024,4971
lombardia,utenti che chiamano per sè,non indicato,2023,21
lombardia,utenti che chiamano per sè,non indicato,2024,11
lombardia,da operatori,maschi,2015,10
lombardia,da operatori,maschi,2016,13
lombardia,da operatori,maschi,2017,22
lombardia,da operatori,maschi,2018,26
lombardia,da operatori,maschi,2019,31
lombardia,da operatori,maschi,2020,23
lombardia,da operatori,maschi,2021,38
lombardia,da operatori,maschi,2022,54
lombardia,da operatori,maschi,2023,186
lombardia,da operatori,maschi,2024,233
lombardia,da operatori,femmine,2015,9
lombardia,da operatori,femmine,2016,16
lombardia,da operatori,femmine,2017,25
lombardia,da operatori,femmine,2018,38
lombardia,da operatori,femmine,2019,36
lombardia,da operatori,femmine,2020,33
lombardia,da operatori,femmine,2021,30
lombardia,da operatori,femmine,2022,36
lombardia,da operatori,femmine,2023,393
lombardia,da operatori,femmine,2024,571
lombardia,da operatori,non indicato,2023,5
lombardia,da operatori,non indicato,2024,1
lombardia,da parenti/amici/conoscenti,maschi,2015,48
lombardia,da parenti/amici/conoscenti,maschi,2016,55
lombardia,da parenti/amici/conoscenti,maschi,2017,41
lombardia,da parenti/amici/conoscenti,maschi,2018,18
lombardia,da parenti/amici/conoscenti,maschi,2019,25
lombardia,da parenti/amici/conoscenti,maschi,2020,45
lombardia,da parenti/amici/conoscenti,maschi,2021,69
lombardia,da parenti/amici/conoscenti,maschi,2022,42
lombardia,da parenti/amici/conoscenti,maschi,2023,129
lombardia,da parenti/amici/conoscenti,maschi,2024,153
lombardia,da parenti/amici/conoscenti,femmine,2015,216
lombardia,da parenti/amici/conoscenti,femmine,2016,241
lombardia,da parenti/amici/conoscenti,femmine,2017,164
lombardia,da parenti/amici/conoscenti,femmine,2018,157
lombardia,da parenti/amici/conoscenti,femmine,2019,115
lombardia,da parenti/amici/conoscenti,femmine,2020,175
lombardia,da parenti/amici/conoscenti,femmine,2021,211
lombardia,da parenti/amici/conoscenti,femmine,2022,173
lombardia,da parenti/amici/conoscenti,femmine,2023,444
lombardia,da parenti/amici/conoscenti,femmine,2024,588
lombardia,da parenti/amici/conoscenti,non indicato,2023,4
lombardia,da parenti/amici/conoscenti,non indicato,2024,7
lombardia,altre chiamate valide,maschi,2015,7
lombardia,altre chiamate valide,maschi,2016,5
lombardia,altre chiamate valide,maschi,2017,4
lombardia,altre chiamate valide,maschi,2018,8
lombardia,altre chiamate valide,maschi,2019,4
lombardia,altre chiamate valide,maschi,2020,6
lombardia,altre chiamate valide,maschi,2021,8
lombardia,altre chiamate valide,maschi,2022,7
lombardia,altre chiamate valide,maschi,2023,84
lombardia,altre chiamate valide,maschi,2024,157
lombardia,altre chiamate valide,femmine,2015,32
lombardia,altre chiamate valide,femmine,2016,35
lombardia,altre chiamate valide,femmine,2017,47
lombardia,altre chiamate valide,femmine,2018,53
lombardia,altre chiamate valide,femmine,2019,33
lombardia,altre chiamate valide,femmine,2020,30
lombardia,altre chiamate valide,femmine,2021,31
lombardia,altre chiamate valide,femmine,2022,37
lombardia,altre chiamate valide,femmine,2023,328
lombardia,altre chiamate valide,femmine,2024,672
lombardia,altre chiamate valide,non indicato,2023,1
lombardia,altre chiamate valide,non indicato,2024,8
lombardia,valore mancante,maschi,2023,3
lombardia,valore mancante,maschi,2024,2
lombardia,valore mancante,femmine,2023,29
lombardia,valore mancante,femmine,2024,5
nord est,utenti che chiamano per sè,maschi,2015,192
nord est,utenti che chiamano per sè,maschi,2016,142
nord est,utenti che chiamano per sè,maschi,2017,152
nord est,utenti che chiamano per sè,maschi,2018,241
nord est,utenti che chiamano per sè,maschi,2019,248
nord est,utenti che chiamano per sè,maschi,2020,347
nord est,utenti che chiamano per sè,maschi,2021,293
nord est,utenti che chiamano per sè,maschi,2022,259
nord est,utenti che chiamano per sè,maschi,2023,216
nord est,utenti che chiamano per sè,maschi,2024,214
nord est,utenti che chiamano per sè,femmine,2015,2010
nord est,utenti che chiamano per sè,femmine,2016,1776
nord est,utenti che chiamano per sè,femmine,2017,1683
nord est,utenti che chiamano per sè,femmine,2018,2471
nord est,utenti che chiamano per sè,femmine,2019,2626
nord est,utenti che chiamano per sè,femmine,2020,3382
nord est,utenti che chiamano per sè,femmine,2021,3700
nord est,utenti che chiamano per sè,femmine,2022,3477
nord est,utenti che chiamano per sè,femmine,2023,4248
nord est,utenti che chiamano per sè,femmine,2024,5466
nord est,utenti che chiamano per sè,non indicato,2023,18
nord est,utenti che chiamano per sè,non indicato,2024,10
nord est,da operatori,maschi,2015,19
nord est,da operatori,maschi,2016,26
nord est,da operatori,maschi,2017,20
nord est,da operatori,maschi,2018,23
nord est,da operatori,maschi,2019,36
nord est,da operatori,maschi,2020,15
nord est,da operatori,maschi,2021,67
nord est,da operatori,maschi,2022,74
nord est,da operatori,maschi,2023,229
nord est,da operatori,maschi,2024,310
nord est,da operatori,femmine,2015,20
nord est,da operatori,femmine,2016,20
nord est,da operatori,femmine,2017,22
nord est,da operatori,femmine,2018,21
nord est,da operatori,femmine,2019,36
nord est,da operatori,femmine,2020,49
nord est,da operatori,femmine,2021,30
nord est,da operatori,femmine,2022,44
nord est,da operatori,femmine,2023,366
nord est,da operatori,femmine,2024,529
nord est,da operatori,non indicato,2023,6
nord est,da operatori,non indicato,2024,5
nord est,da parenti/amici/conoscenti,maschi,2015,48
nord est,da parenti/amici/conoscenti,maschi,2016,36
nord est,da parenti/amici/conoscenti,maschi,2017,40
nord est,da parenti/amici/conoscenti,maschi,2018,28
nord est,da parenti/amici/conoscenti,maschi,2019,16
nord est,da parenti/amici/conoscenti,maschi,2020,39
nord est,da parenti/amici/conoscenti,maschi,2021,69
nord est,da parenti/amici/conoscenti,maschi,2022,30
nord est,da parenti/amici/conoscenti,maschi,2023,121
nord est,da parenti/amici/conoscenti,maschi,2024,146
nord est,da parenti/amici/conoscenti,femmine,2015,235
nord est,da parenti/amici/conoscenti,femmine,2016,175
