territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
nord est,Utenti del 1522,non indicato,missing,2024,26
trentino alto adige,Utenti del 1522,maschi,omosessuale,2020,1
trentino alto adige,Utenti del 1522,maschi,omosessuale,2022,1
trentino alto adige,Utenti del 1522,maschi,transessuale,2020,2
trentino alto adige,Utenti del 1522,maschi,missing,2023,62
trentino alto adige,Utenti del 1522,maschi,missing,2024,47
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2015,25
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2016,14
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2017,12
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2018,10
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2019,9
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2020,36
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2021,31
trentino alto adige,Utenti del 1522,maschi,altro o non indicato,2022,27
trentino alto adige,Utenti del 1522,femmine,omosessuale,2020,1
trentino alto adige,Utenti del 1522,femmine,omosessuale,2022,1
trentino alto adige,Utenti del 1522,femmine,transessuale,2020,2
trentino alto adige,Utenti del 1522,femmine,missing,2023,307
trentino alto adige,Utenti del 1522,femmine,missing,2024,388
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2015,114
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2016,113
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2017,79
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2018,165
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2019,181
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2020,207
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2021,252
trentino alto adige,Utenti del 1522,femmine,altro o non indicato,2022,218
trentino alto adige,Utenti del 1522,non indicato,missing,2023,2
trentino alto adige,Utenti del 1522,non indicato,missing,2024,3
veneto,Utenti del 1522,maschi,omosessuale,2015,1
veneto,Utenti del 1522,maschi,omosessuale,2016,1
veneto,Utenti del 1522,maschi,omosessuale,2017,1
veneto,Utenti del 1522,maschi,omosessuale,2018,1
veneto,Utenti del 1522,maschi,omosessuale,2019,2
veneto,Utenti del 1522,maschi,omosessuale,2020,5
veneto,Utenti del 1522,maschi,omosessuale,2021,4
veneto,Utenti del 1522,maschi,omosessuale,2022,2
veneto,Utenti del 1522,maschi,transessuale,2017,1
veneto,Utenti del 1522,maschi,transessuale,2018,1
veneto,Utenti del 1522,maschi,transessuale,2019,1
veneto,Utenti del 1522,maschi,transessuale,2020,1
veneto,Utenti del 1522,maschi,transessuale,2021,1
veneto,Utenti del 1522,maschi,missing,2023,303
veneto,Utenti del 1522,maschi,missing,2024,382
veneto,Utenti del 1522,maschi,altro o non indicato,2015,118
veneto,Utenti del 1522,maschi,altro o non indicato,2016,91
veneto,Utenti del 1522,maschi,altro o non indicato,2017,92
veneto,Utenti del 1522,maschi,altro o non indicato,2018,147
veneto,Utenti del 1522,maschi,altro o non indicato,2019,150
veneto,Utenti del 1522,maschi,altro o non indicato,2020,186
veneto,Utenti del 1522,maschi,altro o non indicato,2021,209
veneto,Utenti del 1522,maschi,altro o non indicato,2022,177
veneto,Utenti del 1522,femmine,omosessuale,2015,1
veneto,Utenti del 1522,femmine,omosessuale,2018,1
veneto,Utenti del 1522,femmine,omosessuale,2020,6
veneto,Utenti del 1522,femmine,omosessuale,2021,7
veneto,Utenti del 1522,femmine,omosessuale,2022,4
veneto,Utenti del 1522,femmine,transessuale,2015,3
veneto,Utenti del 1522,femmine,transessuale,2016,2
veneto,Utenti del 1522,femmine,transessuale,2017,5
veneto,Utenti del 1522,femmine,transessuale,2018,2
veneto,Utenti del 1522,femmine,transessuale,2019,1
veneto,Utenti del 1522,femmine,transessuale,2020,12
veneto,Utenti del 1522,femmine,transessuale,2021,9
veneto,Utenti del 1522,femmine,transessuale,2022,4
veneto,Utenti del 1522,femmine,missing,2023,2361
veneto,Utenti del 1522,femmine,missing,2024,3289
veneto,Utenti del 1522,femmine,altro o non indicato,2015,1082
veneto,Utenti del 1522,femmine,altro o non indicato,2016,865
veneto,Utenti del 1522,femmine,altro o non indicato,2017,899
veneto,Utenti del 1522,femmine,altro o non indicato,2018,1207
veneto,Utenti del 1522,femmine,altro o non indicato,2019,1333
veneto,Utenti del 1522,femmine,altro o non indicato,2020,1614
veneto,Utenti del 1522,femmine,altro o non indicato,2021,1881
veneto,Utenti del 1522,femmine,altro o non indicato,2022,1702
veneto,Utenti del 1522,non indicato,missing,2023,7
veneto,Utenti del 1522,non indicato,missing,2024,11
friuli venezia giulia,Utenti del 1522,maschi,omosessuale,2017,1
friuli venezia giulia,Utenti del 1522,maschi,omosessuale,2020,1
friuli venezia giulia,Utenti del 1522,maschi,omosessuale,2021,1
friuli venezia giulia,Utenti del 1522,maschi,missing,2023,79
friuli venezia giulia,Utenti del 1522,maschi,missing,2024,94
friuli venezia giulia,Utenti del 1522,maschi,altro o non indicato,2015,22
