territorio,sesso,stato_denuncia,periodo,numero_vittime
nord ovest,maschi,non disponibile,2015,7
nord ovest,maschi,non disponibile,2016,5
nord ovest,maschi,non disponibile,2017,13
nord ovest,maschi,non disponibile,2018,8
nord ovest,maschi,non disponibile,2019,7
nord ovest,maschi,non disponibile,2020,24
nord ovest,maschi,non disponibile,2021,27
nord ovest,maschi,non disponibile,2022,10
nord ovest,maschi,non disponibile,2024,3
nord ovest,femmine,denuncia,2015,300
nord ovest,femmine,denuncia,2016,346
nord ovest,femmine,denuncia,2017,278
nord ovest,femmine,denuncia,2018,341
nord ovest,femmine,denuncia,2019,322
nord ovest,femmine,denuncia,2020,414
nord ovest,femmine,denuncia,2021,496
nord ovest,femmine,denuncia,2022,356
nord ovest,femmine,denuncia,2023,447
nord ovest,femmine,denuncia,2024,510
nord ovest,femmine,ritira la denuncia,2015,71
nord ovest,femmine,ritira la denuncia,2016,85
nord ovest,femmine,ritira la denuncia,2017,80
nord ovest,femmine,ritira la denuncia,2018,64
nord ovest,femmine,ritira la denuncia,2019,74
nord ovest,femmine,ritira la denuncia,2020,75
nord ovest,femmine,ritira la denuncia,2021,117
nord ovest,femmine,ritira la denuncia,2022,83
nord ovest,femmine,ritira la denuncia,2023,60
nord ovest,femmine,ritira la denuncia,2024,122
nord ovest,femmine,non denuncia,2015,1566
nord ovest,femmine,non denuncia,2016,1675
nord ovest,femmine,non denuncia,2017,1541
nord ovest,femmine,non denuncia,2018,1713
nord ovest,femmine,non denuncia,2019,1643
nord ovest,femmine,non denuncia,2020,2317
nord ovest,femmine,non denuncia,2021,2402
nord ovest,femmine,non denuncia,2022,2157
nord ovest,femmine,non denuncia,2023,2539
nord ovest,femmine,non denuncia,2024,3387
nord ovest,femmine,non risponde,2015,9
nord ovest,femmine,non risponde,2016,13
nord ovest,femmine,non risponde,2017,13
nord ovest,femmine,non risponde,2018,15
nord ovest,femmine,non risponde,2019,3
nord ovest,femmine,non risponde,2020,21
nord ovest,femmine,non risponde,2021,46
nord ovest,femmine,non risponde,2022,38
nord ovest,femmine,non risponde,2023,295
nord ovest,femmine,non risponde,2024,241
nord ovest,femmine,non disponibile,2015,131
nord ovest,femmine,non disponibile,2016,94
nord ovest,femmine,non disponibile,2017,163
nord ovest,femmine,non disponibile,2018,187
nord ovest,femmine,non disponibile,2019,117
nord ovest,femmine,non disponibile,2020,745
nord ovest,femmine,non disponibile,2021,471
nord ovest,femmine,non disponibile,2022,160
nord ovest,femmine,non disponibile,2023,43
nord ovest,femmine,non disponibile,2024,75
nord ovest,non indicato,denuncia,2023,5
nord ovest,non indicato,denuncia,2024,1
nord ovest,non indicato,non denuncia,2023,8
nord ovest,non indicato,non denuncia,2024,4
nord ovest,non indicato,non risponde,2023,7
nord ovest,non indicato,non risponde,2024,6
