sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,22.9
maschi,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,51.8
maschi,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,4.0
maschi,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,13.8
maschi,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,29.0
maschi,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,23.6
maschi,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,27.1
maschi,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,6.4
maschi,diploma_o_equivalente,Le donne serie non vengono violentate,molto_d_accordo,1.4
maschi,diploma_o_equivalente,Le donne serie non vengono violentate,abbastanza_d_accordo,3.7
maschi,diploma_o_equivalente,Le donne serie non vengono violentate,poco_d_accordo,11.6
maschi,diploma_o_equivalente,Le donne serie non vengono violentate,per_niente_d_accordo,78.6
maschi,diploma_o_equivalente,Le donne serie non vengono violentate,non_risponde,4.7
maschi,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.8
maschi,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.8
maschi,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.8
maschi,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,88.0
maschi,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,4.5
maschi,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.1
maschi,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,6.2
maschi,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,15.9
maschi,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,64.5
maschi,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,12.2
maschi,diploma_o_equivalente,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,3.2
maschi,diploma_o_equivalente,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,12.4
maschi,diploma_o_equivalente,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,13.5
maschi,diploma_o_equivalente,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,65.6
maschi,diploma_o_equivalente,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.3
maschi,diploma_o_equivalente,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.6
maschi,diploma_o_equivalente,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,10.1
maschi,diploma_o_equivalente,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,33.5
maschi,diploma_o_equivalente,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,43.2
maschi,diploma_o_equivalente,Spesso le accuse di violenza sessuale sono false,non_risponde,11.5
maschi,laurea,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,1.6
maschi,laurea,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,9.3
maschi,laurea,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,25.6
maschi,laurea,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,61.2
maschi,laurea,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,2.2
maschi,laurea,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,10.6
maschi,laurea,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,27.3
maschi,laurea,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,27.0
maschi,laurea,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,30.8
