territorio,motivo_chiamata,sesso,nazionalità_utente,periodo,numero_vittime
italia,emergenza,maschi,estero,2018,1
italia,emergenza,maschi,estero,2019,1
italia,emergenza,maschi,estero,2020,1
italia,emergenza,maschi,estero,2021,1
italia,emergenza,maschi,estero,2022,1
italia,emergenza,maschi,estero,2023,1
italia,emergenza,maschi,estero,2024,1
italia,emergenza,maschi,italia,2015,16
italia,emergenza,maschi,italia,2016,6
italia,emergenza,maschi,italia,2017,10
italia,emergenza,maschi,italia,2018,8
italia,emergenza,maschi,italia,2019,11
italia,emergenza,maschi,italia,2020,3
italia,emergenza,maschi,italia,2021,1
italia,emergenza,maschi,italia,2022,1
italia,emergenza,maschi,italia,2023,15
italia,emergenza,maschi,italia,2024,6
italia,emergenza,maschi,non indicato,2018,1
italia,emergenza,femmine,estero,2015,163
italia,emergenza,femmine,estero,2016,118
italia,emergenza,femmine,estero,2017,170
italia,emergenza,femmine,estero,2018,197
italia,emergenza,femmine,estero,2019,160
italia,emergenza,femmine,estero,2020,120
italia,emergenza,femmine,estero,2021,62
italia,emergenza,femmine,estero,2022,17
italia,emergenza,femmine,estero,2023,37
italia,emergenza,femmine,estero,2024,32
italia,emergenza,femmine,estero,2015,27
italia,emergenza,femmine,estero,2016,11
italia,emergenza,femmine,estero,2017,30
italia,emergenza,femmine,estero,2018,33
italia,emergenza,femmine,estero,2019,15
italia,emergenza,femmine,estero,2020,11
italia,emergenza,femmine,estero,2021,11
italia,emergenza,femmine,estero,2022,1
italia,emergenza,femmine,estero,2023,5
italia,emergenza,femmine,estero,2024,6
italia,emergenza,femmine,italia,2015,136
italia,emergenza,femmine,italia,2016,107
italia,emergenza,femmine,italia,2017,140
italia,emergenza,femmine,italia,2018,164
italia,emergenza,femmine,italia,2019,144
italia,emergenza,femmine,italia,2020,108
italia,emergenza,femmine,italia,2021,51
italia,emergenza,femmine,italia,2022,13
italia,emergenza,femmine,italia,2023,32
italia,emergenza,femmine,italia,2024,26
italia,emergenza,femmine,non indicato,2019,1
italia,emergenza,femmine,non indicato,2020,1
italia,emergenza,femmine,non indicato,2022,3
italia,emergenza,non indicato,estero,2015,1
italia,emergenza,non indicato,estero,2019,2
italia,emergenza,non indicato,estero,2020,9
italia,emergenza,non indicato,estero,2021,11
italia,emergenza,non indicato,estero,2022,15
italia,emergenza,non indicato,estero,2023,30
italia,emergenza,non indicato,estero,2024,2
italia,emergenza,non indicato,italia,2023,8
italia,emergenza,non indicato,italia,2024,2
italia,emergenza,non indicato,non indicato,2015,1
italia,emergenza,non indicato,non indicato,2019,2
italia,emergenza,non indicato,non indicato,2020,9
italia,emergenza,non indicato,non indicato,2021,11
italia,emergenza,non indicato,non indicato,2022,15
italia,emergenza,non indicato,non indicato,2023,22
italia,informazioni sul servizio 1522,maschi,estero,2015,433
italia,informazioni sul servizio 1522,maschi,estero,2016,333
italia,informazioni sul servizio 1522,maschi,estero,2017,607
italia,informazioni sul servizio 1522,maschi,estero,2018,1085
italia,informazioni sul servizio 1522,maschi,estero,2019,1224
italia,informazioni sul servizio 1522,maschi,estero,2020,1097
italia,informazioni sul servizio 1522,maschi,estero,2021,1623
italia,informazioni sul servizio 1522,maschi,estero,2022,1856
italia,informazioni sul servizio 1522,maschi,estero,2023,2764
italia,informazioni sul servizio 1522,maschi,estero,2024,3512
italia,informazioni sul servizio 1522,maschi,estero,2015,9
italia,informazioni sul servizio 1522,maschi,estero,2016,15
italia,informazioni sul servizio 1522,maschi,estero,2017,15
italia,informazioni sul servizio 1522,maschi,estero,2018,29
