sesso,età,imput_affermazione,grado_accordo,percentuale
maschi,45-59,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,12.3
maschi,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.8
maschi,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,10.0
maschi,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,10.9
maschi,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,70.9
maschi,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.4
maschi,45-59,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.4
maschi,45-59,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,9.6
maschi,45-59,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,32.5
maschi,45-59,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,44.8
maschi,45-59,Spesso le accuse di violenza sessuale sono false,non_risponde,11.6
maschi,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,9.1
maschi,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,22.8
maschi,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,21.6
maschi,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,36.7
maschi,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,9.7
maschi,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,14.2
maschi,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,29.7
maschi,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,20.5
maschi,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,21.8
maschi,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,13.8
maschi,60-74,Le donne serie non vengono violentate,molto_d_accordo,3.9
maschi,60-74,Le donne serie non vengono violentate,abbastanza_d_accordo,6.4
maschi,60-74,Le donne serie non vengono violentate,poco_d_accordo,8.5
