sesso,età,imput_affermazione,grado_accordo,percentuale
femmine,60-74,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,13.3
femmine,60-74,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,27.9
femmine,60-74,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,18.2
femmine,60-74,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,39.2
femmine,60-74,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,1.5
femmine,60-74,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,11.2
femmine,60-74,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,23.8
femmine,60-74,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,13.9
femmine,60-74,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,48.0
femmine,60-74,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,3.1
