territorio,sesso,imput_affermazione,grado_accordo,percentuale
nord ovest,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,51.9
nord ovest,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.6
nord ovest,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,8.9
nord ovest,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,25.8
nord ovest,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,16.7
nord ovest,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,46.9
nord ovest,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.7
piemonte,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,3.6
piemonte,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,7.0
piemonte,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,12.6
piemonte,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,76.1
piemonte,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.7
piemonte,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,7.5
piemonte,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,18.6
piemonte,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,17.9
piemonte,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,55.6
piemonte,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.5
piemonte,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,2.1
piemonte,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,7.1
piemonte,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,13.1
piemonte,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,77.0
piemonte,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.7
piemonte,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,7.8
piemonte,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,24.3
piemonte,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,21.5
piemonte,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,45.9
piemonte,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.5
piemonte,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,4.6
piemonte,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,22.9
piemonte,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,14.5
piemonte,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,56.5
piemonte,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.5
piemonte,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,3.0
piemonte,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,8.4
piemonte,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,11.3
