territorio,sesso,imput_affermazione,grado_accordo,percentuale
nord ovest,femmine,Spesso le accuse di violenza sessuale sono false,non_risponde,9.1
piemonte,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,4.1
piemonte,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,23.6
piemonte,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,20.1
piemonte,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,49.0
piemonte,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,3.2
piemonte,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.8
piemonte,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,30.5
piemonte,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,25.9
piemonte,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,26.5
piemonte,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,5.3
piemonte,maschi,Le donne serie non vengono violentate,molto_d_accordo,1.0
piemonte,maschi,Le donne serie non vengono violentate,abbastanza_d_accordo,3.4
piemonte,maschi,Le donne serie non vengono violentate,poco_d_accordo,9.1
piemonte,maschi,Le donne serie non vengono violentate,per_niente_d_accordo,83.0
piemonte,maschi,Le donne serie non vengono violentate,non_risponde,3.6
piemonte,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.8
piemonte,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.5
piemonte,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.4
piemonte,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,89.5
piemonte,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,3.7
piemonte,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.9
piemonte,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,7.2
piemonte,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,19.1
piemonte,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,61.7
piemonte,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,11.0
piemonte,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,4.8
piemonte,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,15.9
piemonte,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,8.8
piemonte,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,65.2
piemonte,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.3
piemonte,maschi,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.9
piemonte,maschi,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,13.1
piemonte,maschi,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,31.6
piemonte,maschi,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,44.8
piemonte,maschi,Spesso le accuse di violenza sessuale sono false,non_risponde,8.5
piemonte,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,6.4
piemonte,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,17.9
piemonte,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,19.1
piemonte,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,52.2
piemonte,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,4.4
piemonte,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,9.6
piemonte,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,23.0
piemonte,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,25.1
piemonte,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,36.3
piemonte,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,6.0
piemonte,femmine,Le donne serie non vengono violentate,molto_d_accordo,1.4
piemonte,femmine,Le donne serie non vengono violentate,abbastanza_d_accordo,3.6
piemonte,femmine,Le donne serie non vengono violentate,poco_d_accordo,5.6
piemonte,femmine,Le donne serie non vengono violentate,per_niente_d_accordo,84.2
