territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
lombardia,Utenti del 1522,maschi,non indicato,2024,618
lombardia,Utenti del 1522,femmine,no,2015,2123
lombardia,Utenti del 1522,femmine,no,2016,2126
lombardia,Utenti del 1522,femmine,no,2017,2065
lombardia,Utenti del 1522,femmine,no,2018,2777
lombardia,Utenti del 1522,femmine,no,2019,2619
lombardia,Utenti del 1522,femmine,no,2020,3014
lombardia,Utenti del 1522,femmine,no,2021,2209
lombardia,Utenti del 1522,femmine,no,2022,2030
lombardia,Utenti del 1522,femmine,no,2023,1269
lombardia,Utenti del 1522,femmine,no,2024,2437
lombardia,Utenti del 1522,femmine,si,2015,46
lombardia,Utenti del 1522,femmine,si,2016,49
lombardia,Utenti del 1522,femmine,si,2017,46
lombardia,Utenti del 1522,femmine,si,2018,61
lombardia,Utenti del 1522,femmine,si,2019,59
lombardia,Utenti del 1522,femmine,si,2020,175
lombardia,Utenti del 1522,femmine,si,2021,262
lombardia,Utenti del 1522,femmine,si,2022,161
lombardia,Utenti del 1522,femmine,si,2023,870
lombardia,Utenti del 1522,femmine,si,2024,295
lombardia,Utenti del 1522,femmine,non indicato,2015,314
lombardia,Utenti del 1522,femmine,non indicato,2016,230
lombardia,Utenti del 1522,femmine,non indicato,2017,169
lombardia,Utenti del 1522,femmine,non indicato,2018,40
lombardia,Utenti del 1522,femmine,non indicato,2019,36
lombardia,Utenti del 1522,femmine,non indicato,2020,519
lombardia,Utenti del 1522,femmine,non indicato,2021,1129
lombardia,Utenti del 1522,femmine,non indicato,2022,1223
lombardia,Utenti del 1522,femmine,non indicato,2023,2713
lombardia,Utenti del 1522,femmine,non indicato,2024,4075
lombardia,Utenti del 1522,non indicato,no,2024,1
lombardia,Utenti del 1522,non indicato,si,2023,5
lombardia,Utenti del 1522,non indicato,si,2024,3
lombardia,Utenti del 1522,non indicato,non indicato,2023,26
lombardia,Utenti del 1522,non indicato,non indicato,2024,23
nord est,Utenti del 1522,maschi,no,2015,231
nord est,Utenti del 1522,maschi,no,2016,173
nord est,Utenti del 1522,maschi,no,2017,182
nord est,Utenti del 1522,maschi,no,2018,273
nord est,Utenti del 1522,maschi,no,2019,286
nord est,Utenti del 1522,maschi,no,2020,316
nord est,Utenti del 1522,maschi,no,2021,230
nord est,Utenti del 1522,maschi,no,2022,175
nord est,Utenti del 1522,maschi,no,2023,74
nord est,Utenti del 1522,maschi,no,2024,101
nord est,Utenti del 1522,maschi,si,2015,12
nord est,Utenti del 1522,maschi,si,2016,6
nord est,Utenti del 1522,maschi,si,2017,13
nord est,Utenti del 1522,maschi,si,2018,16
nord est,Utenti del 1522,maschi,si,2019,12
nord est,Utenti del 1522,maschi,si,2020,21
nord est,Utenti del 1522,maschi,si,2021,51
nord est,Utenti del 1522,maschi,si,2022,18
nord est,Utenti del 1522,maschi,si,2023,60
nord est,Utenti del 1522,maschi,si,2024,15
nord est,Utenti del 1522,maschi,non indicato,2015,25
nord est,Utenti del 1522,maschi,non indicato,2016,28
nord est,Utenti del 1522,maschi,non indicato,2017,20
nord est,Utenti del 1522,maschi,non indicato,2018,9
nord est,Utenti del 1522,maschi,non indicato,2019,10
nord est,Utenti del 1522,maschi,non indicato,2020,67
nord est,Utenti del 1522,maschi,non indicato,2021,157
nord est,Utenti del 1522,maschi,non indicato,2022,177
nord est,Utenti del 1522,maschi,non indicato,2023,548
nord est,Utenti del 1522,maschi,non indicato,2024,744
nord est,Utenti del 1522,femmine,no,2015,2011
