territorio,sesso,tipo_violenza,periodo,numero_vittime
piemonte,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2023,1
piemonte,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2024,1
piemonte,femmine,violenza psicologica,2015,257
piemonte,femmine,violenza psicologica,2016,271
piemonte,femmine,violenza psicologica,2017,230
piemonte,femmine,violenza psicologica,2018,309
piemonte,femmine,violenza psicologica,2019,260
piemonte,femmine,violenza psicologica,2020,351
piemonte,femmine,violenza psicologica,2021,350
piemonte,femmine,violenza psicologica,2022,299
piemonte,femmine,violenza psicologica,2023,374
piemonte,femmine,violenza psicologica,2024,399
piemonte,femmine,violenza economica,2015,15
piemonte,femmine,violenza economica,2016,14
piemonte,femmine,violenza economica,2017,16
piemonte,femmine,violenza economica,2018,11
piemonte,femmine,violenza economica,2019,14
piemonte,femmine,violenza economica,2020,18
piemonte,femmine,violenza economica,2021,8
piemonte,femmine,violenza economica,2022,11
piemonte,femmine,violenza economica,2023,5
piemonte,femmine,violenza economica,2024,8
piemonte,femmine,atti persecutori/stalking,2023,64
piemonte,femmine,atti persecutori/stalking,2024,102
piemonte,femmine,violenza digitale,2023,6
piemonte,femmine,violenza digitale,2024,2
piemonte,femmine,matrimonio forzato,2023,1
piemonte,femmine,altro,2024,1
piemonte,femmine,non risponde,2015,18
piemonte,femmine,non risponde,2016,4
piemonte,femmine,non risponde,2017,3
piemonte,femmine,non risponde,2018,7
piemonte,femmine,non risponde,2019,5
piemonte,femmine,non risponde,2020,6
piemonte,femmine,non risponde,2021,8
piemonte,femmine,non risponde,2022,4
piemonte,femmine,non risponde,2023,4
piemonte,femmine,non risponde,2024,3
piemonte,femmine,non disponibile,2015,26
piemonte,femmine,non disponibile,2016,11
piemonte,femmine,non disponibile,2017,20
piemonte,femmine,non disponibile,2018,20
piemonte,femmine,non disponibile,2019,21
piemonte,femmine,non disponibile,2020,27
piemonte,femmine,non disponibile,2021,13
piemonte,femmine,non disponibile,2022,18
piemonte,femmine,non disponibile,2023,15
piemonte,femmine,non disponibile,2024,8
piemonte,non indicato,violenza fisica,2023,3
piemonte,non indicato,violenza fisica,2024,1
piemonte,non indicato,violenza psicologica,2023,2
piemonte,non indicato,altro,2023,1
piemonte,non indicato,non disponibile,2023,12
piemonte,non indicato,non disponibile,2024,9
liguria,maschi,violenza fisica,2015,1
liguria,maschi,violenza fisica,2016,3
liguria,maschi,violenza fisica,2017,1
liguria,maschi,violenza fisica,2018,1
liguria,maschi,violenza fisica,2022,2
liguria,maschi,violenza fisica,2023,3
liguria,maschi,violenza fisica,2024,2
liguria,maschi,violenza sessuale,2017,1
liguria,maschi,violenza sessuale,2018,2
liguria,maschi,violenza sessuale,2020,2
liguria,maschi,violenza sessuale,2021,3
liguria,maschi,violenza sessuale,2023,1
liguria,maschi,minacce,2015,1
liguria,maschi,minacce,2017,1
liguria,maschi,minacce,2019,1
liguria,maschi,minacce,2021,1
liguria,maschi,violenza psicologica,2015,4
liguria,maschi,violenza psicologica,2016,3
liguria,maschi,violenza psicologica,2017,1
liguria,maschi,violenza psicologica,2018,3
liguria,maschi,violenza psicologica,2019,2
liguria,maschi,violenza psicologica,2020,12
liguria,maschi,violenza psicologica,2021,4
liguria,maschi,violenza psicologica,2022,1
liguria,maschi,violenza psicologica,2023,3
liguria,maschi,violenza psicologica,2024,5
liguria,maschi,violenza economica,2019,1
liguria,maschi,violenza economica,2020,1
liguria,maschi,violenza economica,2021,1
liguria,maschi,violenza economica,2023,1
liguria,maschi,non risponde,2015,1
liguria,maschi,non risponde,2017,1
liguria,maschi,non risponde,2022,1
liguria,maschi,non disponibile,2019,1
liguria,femmine,violenza fisica,2015,105
liguria,femmine,violenza fisica,2016,94
liguria,femmine,violenza fisica,2017,69
liguria,femmine,violenza fisica,2018,118
liguria,femmine,violenza fisica,2019,78
liguria,femmine,violenza fisica,2020,142
liguria,femmine,violenza fisica,2021,140
liguria,femmine,violenza fisica,2022,101
liguria,femmine,violenza fisica,2023,115
liguria,femmine,violenza fisica,2024,164
liguria,femmine,violenza sessuale,2015,5
liguria,femmine,violenza sessuale,2016,11
liguria,femmine,violenza sessuale,2017,12
liguria,femmine,violenza sessuale,2018,4
liguria,femmine,violenza sessuale,2019,11
liguria,femmine,violenza sessuale,2020,21
liguria,femmine,violenza sessuale,2021,34
liguria,femmine,violenza sessuale,2022,23
liguria,femmine,violenza sessuale,2023,13
liguria,femmine,violenza sessuale,2024,20
liguria,femmine,minacce,2015,9
liguria,femmine,minacce,2016,5
liguria,femmine,minacce,2017,6
liguria,femmine,minacce,2018,8
liguria,femmine,minacce,2019,8
liguria,femmine,minacce,2020,11
liguria,femmine,minacce,2021,13
liguria,femmine,minacce,2022,12
liguria,femmine,minacce,2024,6
liguria,femmine,mobbing,2017,3
liguria,femmine,mobbing,2022,1
liguria,femmine,mobbing,2023,1
liguria,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2024,2
liguria,femmine,violenza psicologica,2015,72
liguria,femmine,violenza psicologica,2016,88
liguria,femmine,violenza psicologica,2017,86
liguria,femmine,violenza psicologica,2018,82
liguria,femmine,violenza psicologica,2019,78
liguria,femmine,violenza psicologica,2020,116
liguria,femmine,violenza psicologica,2021,110
liguria,femmine,violenza psicologica,2022,87
liguria,femmine,violenza psicologica,2023,102
liguria,femmine,violenza psicologica,2024,136
liguria,femmine,violenza economica,2015,3
liguria,femmine,violenza economica,2016,4
liguria,femmine,violenza economica,2017,3
liguria,femmine,violenza economica,2018,6
liguria,femmine,violenza economica,2019,4
liguria,femmine,violenza economica,2020,9
liguria,femmine,violenza economica,2021,5
liguria,femmine,violenza economica,2022,1
liguria,femmine,violenza economica,2023,3
liguria,femmine,violenza economica,2024,2
liguria,femmine,atti persecutori/stalking,2023,23
liguria,femmine,atti persecutori/stalking,2024,26
liguria,femmine,violenza digitale,2023,1
liguria,femmine,non risponde,2015,4
liguria,femmine,non risponde,2017,1
