sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,0.8
maschi,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,3.1
maschi,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,11.4
maschi,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,84.3
maschi,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.4
maschi,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,2.3
maschi,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,10.9
maschi,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,19.2
maschi,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,67.3
maschi,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.3
maschi,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,0.9
maschi,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,2.6
maschi,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,11.0
maschi,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,85.2
maschi,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.3
maschi,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,3.3
maschi,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,18.6
maschi,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,21.0
maschi,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,56.7
maschi,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.4
maschi,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,4.9
maschi,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,21.6
maschi,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,17.3
maschi,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,55.2
maschi,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,0.9
femmine,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,11.5
femmine,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,22.0
femmine,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,11.1
femmine,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,53.4
femmine,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,2.0
femmine,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,19.5
femmine,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,28.9
femmine,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,13.5
femmine,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,36.7
femmine,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,1.4
femmine,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,8.8
femmine,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,11.7
femmine,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,9.3
femmine,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,68.6
femmine,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,1.6
femmine,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,20.6
femmine,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,34.4
femmine,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,15.4
femmine,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,27.8
femmine,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,1.8
