territorio,sesso,motivo_chiamata,periodo,numero_vittime
liguria,femmine,richiesta di aiuto vittima di stalking,2016,17
liguria,femmine,richiesta di aiuto vittima di stalking,2017,16
liguria,femmine,richiesta di aiuto vittima di stalking,2018,23
liguria,femmine,richiesta di aiuto vittima di stalking,2019,18
liguria,femmine,richiesta di aiuto vittima di stalking,2020,26
liguria,femmine,richiesta di aiuto vittima di stalking,2021,36
liguria,femmine,richiesta di aiuto vittima di stalking,2022,23
liguria,femmine,richiesta di aiuto vittima di stalking,2023,22
liguria,femmine,richiesta di aiuto vittima di stalking,2024,41
liguria,femmine,richiesta di aiuto vittima di violenza,2015,141
liguria,femmine,richiesta di aiuto vittima di violenza,2016,138
liguria,femmine,richiesta di aiuto vittima di violenza,2017,129
liguria,femmine,richiesta di aiuto vittima di violenza,2018,175
liguria,femmine,richiesta di aiuto vittima di violenza,2019,140
liguria,femmine,richiesta di aiuto vittima di violenza,2020,227
liguria,femmine,richiesta di aiuto vittima di violenza,2021,233
liguria,femmine,richiesta di aiuto vittima di violenza,2022,181
liguria,femmine,richiesta di aiuto vittima di violenza,2023,199
liguria,femmine,richiesta di aiuto vittima di violenza,2024,284
liguria,femmine,segnalazione di un caso di violenza,2015,38
liguria,femmine,segnalazione di un caso di violenza,2016,51
liguria,femmine,segnalazione di un caso di violenza,2017,37
liguria,femmine,segnalazione di un caso di violenza,2018,29
liguria,femmine,segnalazione di un caso di violenza,2019,26
liguria,femmine,segnalazione di un caso di violenza,2020,52
liguria,femmine,segnalazione di un caso di violenza,2021,40
liguria,femmine,segnalazione di un caso di violenza,2022,27
liguria,femmine,segnalazione di un caso di violenza,2023,42
liguria,femmine,segnalazione di un caso di violenza,2024,35
liguria,femmine,emergenza,2015,5
liguria,femmine,emergenza,2016,3
liguria,femmine,emergenza,2017,1
liguria,femmine,emergenza,2018,1
liguria,femmine,emergenza,2020,2
liguria,femmine,emergenza,2021,1
liguria,non indicato,richiesta di aiuto vittima di stalking,2023,1
liguria,non indicato,richiesta di aiuto vittima di stalking,2024,1
liguria,non indicato,richiesta di aiuto vittima di violenza,2023,2
liguria,non indicato,richiesta di aiuto vittima di violenza,2024,2
liguria,non indicato,segnalazione di un caso di violenza,2023,1
liguria,non indicato,emergenza,2023,2
lombardia,maschi,richiesta di aiuto vittima di stalking,2015,18
lombardia,maschi,richiesta di aiuto vittima di stalking,2016,19
lombardia,maschi,richiesta di aiuto vittima di stalking,2017,11
lombardia,maschi,richiesta di aiuto vittima di stalking,2018,13
lombardia,maschi,richiesta di aiuto vittima di stalking,2019,9
lombardia,maschi,richiesta di aiuto vittima di stalking,2020,12
lombardia,maschi,richiesta di aiuto vittima di stalking,2021,18
lombardia,maschi,richiesta di aiuto vittima di stalking,2022,12
lombardia,maschi,richiesta di aiuto vittima di stalking,2023,19
lombardia,maschi,richiesta di aiuto vittima di stalking,2024,17
lombardia,maschi,richiesta di aiuto vittima di violenza,2015,14
lombardia,maschi,richiesta di aiuto vittima di violenza,2016,14
lombardia,maschi,richiesta di aiuto vittima di violenza,2017,17
lombardia,maschi,richiesta di aiuto vittima di violenza,2018,17
lombardia,maschi,richiesta di aiuto vittima di violenza,2019,21
lombardia,maschi,richiesta di aiuto vittima di violenza,2020,31
lombardia,maschi,richiesta di aiuto vittima di violenza,2021,29
lombardia,maschi,richiesta di aiuto vittima di violenza,2022,16
lombardia,maschi,richiesta di aiuto vittima di violenza,2023,34
lombardia,maschi,richiesta di aiuto vittima di violenza,2024,25
lombardia,maschi,richiesta di aiuto per discriminazione,2020,1
lombardia,maschi,segnalazione di un caso di violenza,2015,8
lombardia,maschi,segnalazione di un caso di violenza,2016,6
lombardia,maschi,segnalazione di un caso di violenza,2017,8
lombardia,maschi,segnalazione di un caso di violenza,2018,11
lombardia,maschi,segnalazione di un caso di violenza,2019,5
lombardia,maschi,segnalazione di un caso di violenza,2020,17
lombardia,maschi,segnalazione di un caso di violenza,2021,11
lombardia,maschi,segnalazione di un caso di violenza,2022,4
lombardia,maschi,segnalazione di un caso di violenza,2023,16
lombardia,maschi,segnalazione di un caso di violenza,2024,13
lombardia,maschi,emergenza,2015,1
lombardia,maschi,emergenza,2017,1
lombardia,maschi,emergenza,2019,1
lombardia,maschi,emergenza,2022,1
lombardia,femmine,richiesta di aiuto vittima di stalking,2015,158
lombardia,femmine,richiesta di aiuto vittima di stalking,2016,147
lombardia,femmine,richiesta di aiuto vittima di stalking,2017,139
lombardia,femmine,richiesta di aiuto vittima di stalking,2018,152
lombardia,femmine,richiesta di aiuto vittima di stalking,2019,144
lombardia,femmine,richiesta di aiuto vittima di stalking,2020,192
lombardia,femmine,richiesta di aiuto vittima di stalking,2021,187
lombardia,femmine,richiesta di aiuto vittima di stalking,2022,162
lombardia,femmine,richiesta di aiuto vittima di stalking,2023,227
lombardia,femmine,richiesta di aiuto vittima di stalking,2024,372
lombardia,femmine,richiesta di aiuto vittima di violenza,2015,791
lombardia,femmine,richiesta di aiuto vittima di violenza,2016,848
lombardia,femmine,richiesta di aiuto vittima di violenza,2017,833
lombardia,femmine,richiesta di aiuto vittima di violenza,2018,986
lombardia,femmine,richiesta di aiuto vittima di violenza,2019,976
lombardia,femmine,richiesta di aiuto vittima di violenza,2020,1654
lombardia,femmine,richiesta di aiuto vittima di violenza,2021,1650
lombardia,femmine,richiesta di aiuto vittima di violenza,2022,1356
lombardia,femmine,richiesta di aiuto vittima di violenza,2023,1636
lombardia,femmine,richiesta di aiuto vittima di violenza,2024,2200
lombardia,femmine,segnalazione di un caso di violenza,2015,240
lombardia,femmine,segnalazione di un caso di violenza,2016,306
lombardia,femmine,segnalazione di un caso di violenza,2017,264
lombardia,femmine,segnalazione di un caso di violenza,2018,213
lombardia,femmine,segnalazione di un caso di violenza,2019,188
lombardia,femmine,segnalazione di un caso di violenza,2020,401
lombardia,femmine,segnalazione di un caso di violenza,2021,415
lombardia,femmine,segnalazione di un caso di violenza,2022,280
lombardia,femmine,segnalazione di un caso di violenza,2023,341
lombardia,femmine,segnalazione di un caso di violenza,2024,305
lombardia,femmine,emergenza,2015,26
lombardia,femmine,emergenza,2016,8
lombardia,femmine,emergenza,2017,24
lombardia,femmine,emergenza,2018,23
lombardia,femmine,emergenza,2019,26
lombardia,femmine,emergenza,2020,16
lombardia,femmine,emergenza,2021,12
lombardia,femmine,emergenza,2022,4
lombardia,non indicato,richiesta di aiuto vittima di stalking,2023,2
lombardia,non indicato,richiesta di aiuto vittima di stalking,2024,6
lombardia,non indicato,richiesta di aiuto vittima di violenza,2023,25
lombardia,non indicato,richiesta di aiuto vittima di violenza,2024,21
lombardia,non indicato,segnalazione di un caso di violenza,2023,12
lombardia,non indicato,segnalazione di un caso di violenza,2024,1
lombardia,non indicato,emergenza,2023,6
