territorio,sesso,stato_civile,periodo,numero_vittime
nord ovest,femmine,single,2017,688
nord ovest,femmine,single,2018,788
nord ovest,femmine,single,2019,822
nord ovest,femmine,single,2020,1356
nord ovest,femmine,single,2021,1476
nord ovest,femmine,single,2022,1274
nord ovest,femmine,single,2023,1525
nord ovest,femmine,single,2024,2066
nord ovest,femmine,separat,2015,243
nord ovest,femmine,separat,2016,234
nord ovest,femmine,separat,2017,218
nord ovest,femmine,separat,2018,225
nord ovest,femmine,separat,2019,234
nord ovest,femmine,separat,2020,310
nord ovest,femmine,separat,2021,295
nord ovest,femmine,separat,2022,229
nord ovest,femmine,separat,2023,301
nord ovest,femmine,separat,2024,379
nord ovest,femmine,coniugat,2015,927
nord ovest,femmine,coniugat,2016,1028
nord ovest,femmine,coniugat,2017,908
nord ovest,femmine,coniugat,2018,1009
nord ovest,femmine,coniugat,2019,841
nord ovest,femmine,coniugat,2020,1420
nord ovest,femmine,coniugat,2021,1261
nord ovest,femmine,coniugat,2022,951
nord ovest,femmine,coniugat,2023,1130
nord ovest,femmine,coniugat,2024,1429
nord ovest,femmine,divorziat,2015,109
nord ovest,femmine,divorziat,2016,107
nord ovest,femmine,divorziat,2017,113
nord ovest,femmine,divorziat,2018,133
nord ovest,femmine,divorziat,2019,134
nord ovest,femmine,divorziat,2020,126
nord ovest,femmine,divorziat,2021,95
nord ovest,femmine,divorziat,2022,112
nord ovest,femmine,divorziat,2023,162
nord ovest,femmine,divorziat,2024,193
nord ovest,femmine,vedov,2015,85
nord ovest,femmine,vedov,2016,73
nord ovest,femmine,vedov,2017,74
nord ovest,femmine,vedov,2018,91
nord ovest,femmine,vedov,2019,62
nord ovest,femmine,vedov,2020,120
nord ovest,femmine,vedov,2021,86
nord ovest,femmine,vedov,2022,85
nord ovest,femmine,vedov,2023,75
nord ovest,femmine,vedov,2024,100
nord ovest,femmine,non indicato,2015,17
nord ovest,femmine,non indicato,2016,16
nord ovest,femmine,non indicato,2017,22
nord ovest,femmine,non indicato,2018,17
nord ovest,femmine,non indicato,2019,12
nord ovest,femmine,non indicato,2020,176
nord ovest,femmine,non indicato,2021,268
nord ovest,femmine,non indicato,2022,101
nord ovest,femmine,non indicato,2023,191
nord ovest,femmine,non indicato,2024,168
nord ovest,femmine,non disponibile,2015,71
nord ovest,femmine,non disponibile,2016,28
nord ovest,femmine,non disponibile,2017,52
nord ovest,femmine,non disponibile,2018,57
nord ovest,femmine,non disponibile,2019,54
nord ovest,femmine,non disponibile,2020,64
nord ovest,femmine,non disponibile,2021,51
nord ovest,femmine,non disponibile,2022,42
nord ovest,non indicato,single,2023,7
nord ovest,non indicato,single,2024,3
nord ovest,non indicato,separat,2024,1
nord ovest,non indicato,coniugat,2023,6
nord ovest,non indicato,coniugat,2024,4
nord ovest,non indicato,divorziat,2023,2
nord ovest,non indicato,non indicato,2023,5
nord ovest,non indicato,non indicato,2024,3
nord ovest,non indicato,non disponibile,2023,50
nord ovest,non indicato,non disponibile,2024,39
piemonte,maschi,single,2015,9
piemonte,maschi,single,2016,9
piemonte,maschi,single,2017,10
piemonte,maschi,single,2018,5
piemonte,maschi,single,2019,5
piemonte,maschi,single,2020,11
piemonte,maschi,single,2021,17
piemonte,maschi,single,2022,5
piemonte,maschi,single,2023,11
piemonte,maschi,single,2024,17
piemonte,maschi,separat,2017,3
piemonte,maschi,separat,2019,2
piemonte,maschi,separat,2020,1
piemonte,maschi,separat,2021,4
piemonte,maschi,separat,2023,3
piemonte,maschi,separat,2024,1
piemonte,maschi,coniugat,2015,13
piemonte,maschi,coniugat,2016,9
piemonte,maschi,coniugat,2017,8
piemonte,maschi,coniugat,2018,7
piemonte,maschi,coniugat,2019,6
piemonte,maschi,coniugat,2020,10
piemonte,maschi,coniugat,2021,6
piemonte,maschi,coniugat,2022,3
piemonte,maschi,coniugat,2023,4
piemonte,maschi,coniugat,2024,8
piemonte,maschi,divorziat,2019,1
piemonte,maschi,divorziat,2020,1
piemonte,maschi,divorziat,2023,1
piemonte,maschi,vedov,2015,2
piemonte,maschi,vedov,2016,1
piemonte,maschi,vedov,2017,1
piemonte,maschi,vedov,2019,1
piemonte,maschi,vedov,2021,2
piemonte,maschi,non indicato,2017,1
piemonte,maschi,non indicato,2020,1
piemonte,maschi,non indicato,2021,4
piemonte,maschi,non indicato,2022,1
piemonte,maschi,non disponibile,2017,5
piemonte,maschi,non disponibile,2018,1
piemonte,maschi,non disponibile,2020,2
piemonte,maschi,non disponibile,2021,3
piemonte,maschi,non disponibile,2022,3
piemonte,femmine,single,2015,179
piemonte,femmine,single,2016,207
piemonte,femmine,single,2017,198
piemonte,femmine,single,2018,209
piemonte,femmine,single,2019,224
piemonte,femmine,single,2020,337
piemonte,femmine,single,2021,399
piemonte,femmine,single,2022,335
piemonte,femmine,single,2023,402
piemonte,femmine,single,2024,471
