territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,femmine,estero,chiamate valide,2021,32017
italia,femmine,estero,chiamate valide,2022,28567
italia,femmine,estero,chiamate valide,2023,41235
italia,femmine,estero,chiamate valide,2024,52166
italia,femmine,estero,richiesto intervento del 118,2015,22
italia,femmine,estero,richiesto intervento del 118,2016,11
italia,femmine,estero,richiesto intervento del 118,2017,19
italia,femmine,estero,richiesto intervento del 118,2018,14
italia,femmine,estero,richiesto intervento del 118,2019,21
italia,femmine,estero,richiesto intervento del 118,2020,5
italia,femmine,estero,richiesto intervento del 118,2021,3
italia,femmine,estero,richiesto intervento del 118,2022,2
italia,femmine,estero,richiesto intervento del 118,2023,81
italia,femmine,estero,richiesto intervento del 118,2024,155
italia,femmine,estero,richiesto intervento del 112,2015,128
italia,femmine,estero,richiesto intervento del 112,2016,104
italia,femmine,estero,richiesto intervento del 112,2017,139
italia,femmine,estero,richiesto intervento del 112,2018,163
italia,femmine,estero,richiesto intervento del 112,2019,134
italia,femmine,estero,richiesto intervento del 112,2020,110
italia,femmine,estero,richiesto intervento del 112,2021,33
italia,femmine,estero,richiesto intervento del 112,2022,11
italia,femmine,estero,richiesto intervento del 112,2023,1720
italia,femmine,estero,richiesto intervento del 112,2024,3121
italia,femmine,estero,richiesto intervento del 113,2015,117
italia,femmine,estero,richiesto intervento del 113,2016,93
italia,femmine,estero,richiesto intervento del 113,2017,125
italia,femmine,estero,richiesto intervento del 113,2018,138
italia,femmine,estero,richiesto intervento del 113,2019,90
italia,femmine,estero,richiesto intervento del 113,2020,55
italia,femmine,estero,richiesto intervento del 113,2021,17
italia,femmine,estero,richiesto intervento del 113,2023,1915
italia,femmine,estero,richiesto intervento del 113,2024,3489
italia,femmine,estero,trasferito servizio,2015,1273
italia,femmine,estero,trasferito servizio,2016,1201
italia,femmine,estero,trasferito servizio,2017,1251
italia,femmine,estero,trasferito servizio,2018,1312
italia,femmine,estero,trasferito servizio,2019,1362
italia,femmine,estero,trasferito servizio,2020,1674
italia,femmine,estero,trasferito servizio,2021,1516
italia,femmine,estero,trasferito servizio,2022,1467
italia,femmine,estero,trasferito servizio,2023,1919
italia,femmine,estero,trasferito servizio,2024,2326
italia,femmine,estero,non trasferito servizio,2015,244
italia,femmine,estero,non trasferito servizio,2016,210
italia,femmine,estero,non trasferito servizio,2017,247
italia,femmine,estero,non trasferito servizio,2018,415
italia,femmine,estero,non trasferito servizio,2019,444
italia,femmine,estero,non trasferito servizio,2020,576
italia,femmine,estero,non trasferito servizio,2021,734
italia,femmine,estero,non trasferito servizio,2022,809
italia,femmine,estero,non trasferito servizio,2023,715
italia,femmine,estero,non trasferito servizio,2024,774
italia,femmine,estero,chiamate valide,2015,1517
italia,femmine,estero,chiamate valide,2016,1411
italia,femmine,estero,chiamate valide,2017,1498
italia,femmine,estero,chiamate valide,2018,1727
italia,femmine,estero,chiamate valide,2019,1806
italia,femmine,estero,chiamate valide,2020,2250
italia,femmine,estero,chiamate valide,2021,2250
