territorio,sesso,età,periodo,numero_vittime
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,11
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1327
italia,non indicato,non disponibile,2024,1042
nord ovest,maschi,non indicato,2015,2
nord ovest,maschi,non indicato,2020,1
nord ovest,maschi,non indicato,2021,1
nord ovest,maschi,non indicato,2022,5
nord ovest,maschi,non indicato,2023,10
nord ovest,maschi,non indicato,2024,8
nord ovest,maschi,fino a 17 anni,2016,1
nord ovest,maschi,fino a 17 anni,2017,1
nord ovest,maschi,fino a 17 anni,2018,2
nord ovest,maschi,fino a 17 anni,2019,1
nord ovest,maschi,fino a 17 anni,2020,4
nord ovest,maschi,fino a 17 anni,2021,6
nord ovest,maschi,fino a 17 anni,2022,3
nord ovest,maschi,fino a 17 anni,2023,3
nord ovest,maschi,fino a 17 anni,2024,3
nord ovest,maschi,18-24 anni,2015,4
nord ovest,maschi,18-24 anni,2016,5
nord ovest,maschi,18-24 anni,2017,9
nord ovest,maschi,18-24 anni,2018,6
nord ovest,maschi,18-24 anni,2019,4
nord ovest,maschi,18-24 anni,2020,8
nord ovest,maschi,18-24 anni,2021,14
nord ovest,maschi,18-24 anni,2022,4
nord ovest,maschi,18-24 anni,2023,15
nord ovest,maschi,18-24 anni,2024,4
nord ovest,maschi,25-34 anni,2015,5
nord ovest,maschi,25-34 anni,2016,15
nord ovest,maschi,25-34 anni,2017,5
nord ovest,maschi,25-34 anni,2018,10
nord ovest,maschi,25-34 anni,2019,10
nord ovest,maschi,25-34 anni,2020,13
nord ovest,maschi,25-34 anni,2021,13
nord ovest,maschi,25-34 anni,2022,8
nord ovest,maschi,25-34 anni,2023,19
nord ovest,maschi,25-34 anni,2024,11
nord ovest,maschi,35-44 anni,2015,14
nord ovest,maschi,35-44 anni,2016,19
nord ovest,maschi,35-44 anni,2017,16
nord ovest,maschi,35-44 anni,2018,10
nord ovest,maschi,35-44 anni,2019,17
nord ovest,maschi,35-44 anni,2020,19
nord ovest,maschi,35-44 anni,2021,10
nord ovest,maschi,35-44 anni,2022,12
nord ovest,maschi,35-44 anni,2023,16
nord ovest,maschi,35-44 anni,2024,11
nord ovest,maschi,45-54 anni,2015,32
nord ovest,maschi,45-54 anni,2016,13
nord ovest,maschi,45-54 anni,2017,11
nord ovest,maschi,45-54 anni,2018,13
nord ovest,maschi,45-54 anni,2019,7
nord ovest,maschi,45-54 anni,2020,15
nord ovest,maschi,45-54 anni,2021,8
nord ovest,maschi,45-54 anni,2022,6
nord ovest,maschi,45-54 anni,2023,10
nord ovest,maschi,45-54 anni,2024,10
nord ovest,maschi,55-64 anni,2015,2
nord ovest,maschi,55-64 anni,2016,5
nord ovest,maschi,55-64 anni,2017,8
nord ovest,maschi,55-64 anni,2018,6
nord ovest,maschi,55-64 anni,2019,7
nord ovest,maschi,55-64 anni,2020,9
nord ovest,maschi,55-64 anni,2021,8
nord ovest,maschi,55-64 anni,2022,2
nord ovest,maschi,55-64 anni,2023,11
nord ovest,maschi,55-64 anni,2024,2
nord ovest,maschi,65 anni e più,2015,11
nord ovest,maschi,65 anni e più,2016,3
nord ovest,maschi,65 anni e più,2017,10
nord ovest,maschi,65 anni e più,2018,3
nord ovest,maschi,65 anni e più,2019,6
nord ovest,maschi,65 anni e più,2020,9
nord ovest,maschi,65 anni e più,2021,12
nord ovest,maschi,65 anni e più,2022,4
nord ovest,maschi,65 anni e più,2023,5
nord ovest,maschi,65 anni e più,2024,9
nord ovest,maschi,non disponibile,2015,2
nord ovest,maschi,non disponibile,2016,3
nord ovest,maschi,non disponibile,2017,11
nord ovest,maschi,non disponibile,2018,11
nord ovest,maschi,non disponibile,2019,4
nord ovest,maschi,non disponibile,2020,24
nord ovest,maschi,non disponibile,2021,31
nord ovest,maschi,non disponibile,2022,7
nord ovest,maschi,non disponibile,2023,7
nord ovest,maschi,non disponibile,2024,32
nord ovest,femmine,non indicato,2015,7
nord ovest,femmine,non indicato,2016,15
nord ovest,femmine,non indicato,2017,30
nord ovest,femmine,non indicato,2018,12
nord ovest,femmine,non indicato,2019,1
nord ovest,femmine,non indicato,2020,15
nord ovest,femmine,non indicato,2021,77
nord ovest,femmine,non indicato,2022,93
nord ovest,femmine,non indicato,2023,227
nord ovest,femmine,non indicato,2024,149
nord ovest,femmine,fino a 17 anni,2015,13
nord ovest,femmine,fino a 17 anni,2016,15
nord ovest,femmine,fino a 17 anni,2017,18
nord ovest,femmine,fino a 17 anni,2018,21
nord ovest,femmine,fino a 17 anni,2019,26
nord ovest,femmine,fino a 17 anni,2020,47
nord ovest,femmine,fino a 17 anni,2021,85
nord ovest,femmine,fino a 17 anni,2022,57
nord ovest,femmine,fino a 17 anni,2023,62
nord ovest,femmine,fino a 17 anni,2024,64
nord ovest,femmine,18-24 anni,2015,149
nord ovest,femmine,18-24 anni,2016,171
nord ovest,femmine,18-24 anni,2017,155
nord ovest,femmine,18-24 anni,2018,171
nord ovest,femmine,18-24 anni,2019,201
nord ovest,femmine,18-24 anni,2020,281
nord ovest,femmine,18-24 anni,2021,296
nord ovest,femmine,18-24 anni,2022,325
nord ovest,femmine,18-24 anni,2023,377
nord ovest,femmine,18-24 anni,2024,341
nord ovest,femmine,25-34 anni,2015,382
nord ovest,femmine,25-34 anni,2016,420
nord ovest,femmine,25-34 anni,2017,392
nord ovest,femmine,25-34 anni,2018,370
nord ovest,femmine,25-34 anni,2019,413
nord ovest,femmine,25-34 anni,2020,575
nord ovest,femmine,25-34 anni,2021,518
nord ovest,femmine,25-34 anni,2022,501
nord ovest,femmine,25-34 anni,2023,612
nord ovest,femmine,25-34 anni,2024,594
nord ovest,femmine,35-44 anni,2015,557
nord ovest,femmine,35-44 anni,2016,620
nord ovest,femmine,35-44 anni,2017,558
nord ovest,femmine,35-44 anni,2018,613
nord ovest,femmine,35-44 anni,2019,581
nord ovest,femmine,35-44 anni,2020,680
nord ovest,femmine,35-44 anni,2021,606
nord ovest,femmine,35-44 anni,2022,627
nord ovest,femmine,35-44 anni,2023,708
nord ovest,femmine,35-44 anni,2024,732
nord ovest,femmine,45-54 anni,2015,403
nord ovest,femmine,45-54 anni,2016,444
nord ovest,femmine,45-54 anni,2017,425
nord ovest,femmine,45-54 anni,2018,506
nord ovest,femmine,45-54 anni,2019,477
nord ovest,femmine,45-54 anni,2020,603
nord ovest,femmine,45-54 anni,2021,583
nord ovest,femmine,45-54 anni,2022,545
nord ovest,femmine,45-54 anni,2023,647
nord ovest,femmine,45-54 anni,2024,648
nord ovest,femmine,55-64 anni,2015,249
nord ovest,femmine,55-64 anni,2016,261
nord ovest,femmine,55-64 anni,2017,205
nord ovest,femmine,55-64 anni,2018,240
nord ovest,femmine,55-64 anni,2019,209
nord ovest,femmine,55-64 anni,2020,332
nord ovest,femmine,55-64 anni,2021,306
nord ovest,femmine,55-64 anni,2022,271
nord ovest,femmine,55-64 anni,2023,252
nord ovest,femmine,55-64 anni,2024,207
nord ovest,femmine,65 anni e più,2015,201
nord ovest,femmine,65 anni e più,2016,196
nord ovest,femmine,65 anni e più,2017,175
nord ovest,femmine,65 anni e più,2018,213
nord ovest,femmine,65 anni e più,2019,162
nord ovest,femmine,65 anni e più,2020,337
nord ovest,femmine,65 anni e più,2021,332
nord ovest,femmine,65 anni e più,2022,216
nord ovest,femmine,65 anni e più,2023,332
nord ovest,femmine,65 anni e più,2024,295
nord ovest,femmine,non disponibile,2015,116
nord ovest,femmine,non disponibile,2016,71
nord ovest,femmine,non disponibile,2017,117
nord ovest,femmine,non disponibile,2018,174
nord ovest,femmine,non disponibile,2019,89
nord ovest,femmine,non disponibile,2020,702
nord ovest,femmine,non disponibile,2021,729
nord ovest,femmine,non disponibile,2022,159
nord ovest,femmine,non disponibile,2023,167
nord ovest,femmine,non disponibile,2024,1305
nord ovest,non indicato,non indicato,2023,5
nord ovest,non indicato,non indicato,2024,2
nord ovest,non indicato,18-24 anni,2024,1
nord ovest,non indicato,25-34 anni,2023,1
nord ovest,non indicato,25-34 anni,2024,1
nord ovest,non indicato,35-44 anni,2023,4
nord ovest,non indicato,35-44 anni,2024,2
nord ovest,non indicato,45-54 anni,2023,3
nord ovest,non indicato,65 anni e più,2023,2
nord ovest,non indicato,non disponibile,2023,55
nord ovest,non indicato,non disponibile,2024,44
piemonte,maschi,non indicato,2022,2
piemonte,maschi,non indicato,2023,1
piemonte,maschi,non indicato,2024,3
piemonte,maschi,fino a 17 anni,2016,1
piemonte,maschi,fino a 17 anni,2020,1
piemonte,maschi,fino a 17 anni,2021,3
piemonte,maschi,fino a 17 anni,2022,1
piemonte,maschi,fino a 17 anni,2024,1
piemonte,maschi,18-24 anni,2015,1
piemonte,maschi,18-24 anni,2016,1
piemonte,maschi,18-24 anni,2017,5
piemonte,maschi,18-24 anni,2018,1
piemonte,maschi,18-24 anni,2020,2
piemonte,maschi,18-24 anni,2021,4
piemonte,maschi,18-24 anni,2022,1
piemonte,maschi,18-24 anni,2023,4
piemonte,maschi,18-24 anni,2024,1
piemonte,maschi,25-34 anni,2015,1
piemonte,maschi,25-34 anni,2016,4
piemonte,maschi,25-34 anni,2017,1
piemonte,maschi,25-34 anni,2018,2
piemonte,maschi,25-34 anni,2019,2
piemonte,maschi,25-34 anni,2020,3
piemonte,maschi,25-34 anni,2021,3
piemonte,maschi,25-34 anni,2022,2
piemonte,maschi,25-34 anni,2023,4
piemonte,maschi,25-34 anni,2024,1
piemonte,maschi,35-44 anni,2015,3
piemonte,maschi,35-44 anni,2016,6
piemonte,maschi,35-44 anni,2017,3
piemonte,maschi,35-44 anni,2018,2
piemonte,maschi,35-44 anni,2019,6
piemonte,maschi,35-44 anni,2020,4
piemonte,maschi,35-44 anni,2021,3
piemonte,maschi,35-44 anni,2023,3
piemonte,maschi,35-44 anni,2024,3
piemonte,maschi,45-54 anni,2015,14
piemonte,maschi,45-54 anni,2016,2
piemonte,maschi,45-54 anni,2017,4
piemonte,maschi,45-54 anni,2018,2
piemonte,maschi,45-54 anni,2019,3
piemonte,maschi,45-54 anni,2020,4
piemonte,maschi,45-54 anni,2021,3
piemonte,maschi,45-54 anni,2022,1
piemonte,maschi,45-54 anni,2023,2
piemonte,maschi,45-54 anni,2024,3
piemonte,maschi,55-64 anni,2015,1
piemonte,maschi,55-64 anni,2016,3
piemonte,maschi,55-64 anni,2017,2
piemonte,maschi,55-64 anni,2018,1
piemonte,maschi,55-64 anni,2019,2
piemonte,maschi,55-64 anni,2020,3
piemonte,maschi,55-64 anni,2021,3
piemonte,maschi,55-64 anni,2023,3
piemonte,maschi,65 anni e più,2015,4
piemonte,maschi,65 anni e più,2016,2
piemonte,maschi,65 anni e più,2017,5
piemonte,maschi,65 anni e più,2018,1
piemonte,maschi,65 anni e più,2019,2
piemonte,maschi,65 anni e più,2020,3
piemonte,maschi,65 anni e più,2021,6
piemonte,maschi,65 anni e più,2022,2
piemonte,maschi,65 anni e più,2023,2
piemonte,maschi,65 anni e più,2024,2
piemonte,maschi,non disponibile,2017,8
piemonte,maschi,non disponibile,2018,4
piemonte,maschi,non disponibile,2020,6
piemonte,maschi,non disponibile,2021,11
piemonte,maschi,non disponibile,2022,3
piemonte,maschi,non disponibile,2024,12
piemonte,femmine,non indicato,2015,4
piemonte,femmine,non indicato,2016,4
piemonte,femmine,non indicato,2017,7
piemonte,femmine,non indicato,2018,4
piemonte,femmine,non indicato,2020,4
piemonte,femmine,non indicato,2021,22
piemonte,femmine,non indicato,2022,20
piemonte,femmine,non indicato,2023,66
piemonte,femmine,non indicato,2024,34
piemonte,femmine,fino a 17 anni,2015,1
piemonte,femmine,fino a 17 anni,2016,1
piemonte,femmine,fino a 17 anni,2017,5
piemonte,femmine,fino a 17 anni,2018,7
piemonte,femmine,fino a 17 anni,2019,5
piemonte,femmine,fino a 17 anni,2020,8
piemonte,femmine,fino a 17 anni,2021,25
piemonte,femmine,fino a 17 anni,2022,10
piemonte,femmine,fino a 17 anni,2023,10
piemonte,femmine,fino a 17 anni,2024,19
piemonte,femmine,18-24 anni,2015,35
piemonte,femmine,18-24 anni,2016,43
piemonte,femmine,18-24 anni,2017,43
piemonte,femmine,18-24 anni,2018,50
piemonte,femmine,18-24 anni,2019,65
piemonte,femmine,18-24 anni,2020,75
piemonte,femmine,18-24 anni,2021,76
piemonte,femmine,18-24 anni,2022,102
piemonte,femmine,18-24 anni,2023,104
piemonte,femmine,18-24 anni,2024,78
piemonte,femmine,25-34 anni,2015,127
piemonte,femmine,25-34 anni,2016,127
piemonte,femmine,25-34 anni,2017,101
piemonte,femmine,25-34 anni,2018,116
piemonte,femmine,25-34 anni,2019,107
piemonte,femmine,25-34 anni,2020,151
piemonte,femmine,25-34 anni,2021,114
piemonte,femmine,25-34 anni,2022,129
piemonte,femmine,25-34 anni,2023,159
piemonte,femmine,25-34 anni,2024,140
piemonte,femmine,35-44 anni,2015,169
piemonte,femmine,35-44 anni,2016,187
piemonte,femmine,35-44 anni,2017,165
piemonte,femmine,35-44 anni,2018,177
piemonte,femmine,35-44 anni,2019,153
piemonte,femmine,35-44 anni,2020,171
piemonte,femmine,35-44 anni,2021,157
piemonte,femmine,35-44 anni,2022,146
piemonte,femmine,35-44 anni,2023,173
piemonte,femmine,35-44 anni,2024,177
piemonte,femmine,45-54 anni,2015,127
piemonte,femmine,45-54 anni,2016,138
piemonte,femmine,45-54 anni,2017,140
piemonte,femmine,45-54 anni,2018,150
piemonte,femmine,45-54 anni,2019,150
piemonte,femmine,45-54 anni,2020,171
piemonte,femmine,45-54 anni,2021,174
piemonte,femmine,45-54 anni,2022,151
piemonte,femmine,45-54 anni,2023,177
piemonte,femmine,45-54 anni,2024,171
piemonte,femmine,55-64 anni,2015,80
piemonte,femmine,55-64 anni,2016,99
piemonte,femmine,55-64 anni,2017,65
piemonte,femmine,55-64 anni,2018,91
piemonte,femmine,55-64 anni,2019,72
piemonte,femmine,55-64 anni,2020,100
piemonte,femmine,55-64 anni,2021,93
piemonte,femmine,55-64 anni,2022,76
piemonte,femmine,55-64 anni,2023,68
piemonte,femmine,55-64 anni,2024,58
piemonte,femmine,65 anni e più,2015,65
piemonte,femmine,65 anni e più,2016,65
piemonte,femmine,65 anni e più,2017,63
piemonte,femmine,65 anni e più,2018,69
piemonte,femmine,65 anni e più,2019,52
piemonte,femmine,65 anni e più,2020,100
piemonte,femmine,65 anni e più,2021,92
piemonte,femmine,65 anni e più,2022,66
piemonte,femmine,65 anni e più,2023,104
piemonte,femmine,65 anni e più,2024,72
piemonte,femmine,non disponibile,2015,37
piemonte,femmine,non disponibile,2016,20
piemonte,femmine,non disponibile,2017,34
piemonte,femmine,non disponibile,2018,45
piemonte,femmine,non disponibile,2019,28
piemonte,femmine,non disponibile,2020,205
piemonte,femmine,non disponibile,2021,199
piemonte,femmine,non disponibile,2022,47
piemonte,femmine,non disponibile,2023,50
piemonte,femmine,non disponibile,2024,327
piemonte,non indicato,non indicato,2023,2
piemonte,non indicato,35-44 anni,2024,1
piemonte,non indicato,45-54 anni,2023,2
piemonte,non indicato,non disponibile,2023,14
piemonte,non indicato,non disponibile,2024,9
liguria,maschi,non indicato,2015,1
liguria,maschi,non indicato,2023,1
liguria,maschi,fino a 17 anni,2020,1
liguria,maschi,18-24 anni,2016,1
liguria,maschi,18-24 anni,2017,1
liguria,maschi,18-24 anni,2018,1
liguria,maschi,18-24 anni,2020,1
liguria,maschi,18-24 anni,2021,3
liguria,maschi,18-24 anni,2023,1
liguria,maschi,25-34 anni,2015,1
liguria,maschi,25-34 anni,2016,1
liguria,maschi,25-34 anni,2021,2
liguria,maschi,25-34 anni,2022,2
liguria,maschi,25-34 anni,2023,3
liguria,maschi,25-34 anni,2024,1
liguria,maschi,35-44 anni,2016,1
liguria,maschi,35-44 anni,2018,2
liguria,maschi,35-44 anni,2019,1
liguria,maschi,35-44 anni,2020,5
liguria,maschi,35-44 anni,2022,1
liguria,maschi,35-44 anni,2023,1
liguria,maschi,35-44 anni,2024,1
liguria,maschi,45-54 anni,2015,3
